jspooner pts/1        2019-10-11 15:10 (10.26.185.81)
lorenzoc pts/2        2019-10-11 15:22 (10.26.0.210)
yamini   pts/3        2019-10-11 14:32 (10.27.143.86)
sgl      pts/4        2019-10-11 15:25 (10.64.154.235)
root     pts/6        2019-10-11 14:40 (10.65.5.36)
karthikr pts/7        2019-10-11 15:53 (10.26.89.203)
briang0  pts/8        2019-10-11 16:02 (10.64.141.57)
jmtrom   pts/9        2019-10-11 16:07 (10.64.167.29)
jmedlund pts/10       2019-10-11 16:11 (10.30.186.76)
karthikr pts/18       2019-10-11 12:54 (10.26.123.153)
USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.1 182140  8784 ?        Ss   Oct03   1:47 /usr/lib/systemd/systemd --switched-root --system --deserialize 32
root         2  0.0  0.0      0     0 ?        S    Oct03   0:01 [kthreadd]
root         3  0.0  0.0      0     0 ?        I<   Oct03   0:00 [rcu_gp]
root         4  0.0  0.0      0     0 ?        I<   Oct03   0:00 [rcu_par_gp]
root         6  0.0  0.0      0     0 ?        I<   Oct03   0:00 [kworker/0:0H-kblockd]
root         9  0.0  0.0      0     0 ?        I<   Oct03   0:00 [mm_percpu_wq]
root        10  0.1  0.0      0     0 ?        S    Oct03  20:52 [ksoftirqd/0]
root        11  0.0  0.0      0     0 ?        I    Oct03  11:00 [rcu_sched]
root        12  0.0  0.0      0     0 ?        S    Oct03   0:01 [migration/0]
root        13  0.0  0.0      0     0 ?        S    Oct03   0:00 [cpuhp/0]
root        14  0.0  0.0      0     0 ?        S    Oct03   0:00 [cpuhp/1]
root        15  0.0  0.0      0     0 ?        S    Oct03   0:01 [migration/1]
root        16  0.1  0.0      0     0 ?        S    Oct03  20:37 [ksoftirqd/1]
root        18  0.0  0.0      0     0 ?        I<   Oct03   0:00 [kworker/1:0H-kblockd]
root        19  0.0  0.0      0     0 ?        S    Oct03   0:00 [cpuhp/2]
root        20  0.0  0.0      0     0 ?        S    Oct03   0:00 [migration/2]
root        21  0.2  0.0      0     0 ?        S    Oct03  24:10 [ksoftirqd/2]
root        23  0.0  0.0      0     0 ?        I<   Oct03   0:00 [kworker/2:0H-kblockd]
